individual;library;run;original(o)/resequenced/r);readGroupID;total reads;trim input reads;trim reads survived both;trim reads dropped (%);mapped reads;mapped reads (%);coverage mean;coverage st.dev.;Duplicates (%);Lib-complexity total reads;Lib-complexity distinct reads;number of snps
W1398;L16926;S2;o;4;6720264;3360132;2544284;0.24;4987783;98.02;0.56;2.48;5.07;2250000;2224740;
W1429;L16927;S1;r;5;21332072;10666036;9427764;0.12;18494700;98.09;2.06;4.96;8.13;8750000;8608220;
W1429;L16927;S3;o;4;6069840;3034920;2360036;0.22;4631339;98.12;0.52;2.58;4.92;2250000;2221360;
W1502;L16928;S4;o;4;13390576;6695288;5279275;0.21;10376967;98.28;1.14;2.80;5.20;5000000;4963340;
W1447;L16929;S5;o;4;12081324;6040662;4602830;0.24;9021788;98.00;0.97;3.81;5.09;4250000;4181270;
W1318;L16930;S2;r;5;11995744;5997872;5309238;0.11;10412331;98.06;1.14;3.56;9.35;4750000;4688400;
W1318;L16930;S6;o;4;5684766;2842383;2225803;0.22;4367512;98.11;0.48;2.18;5.56;2000000;1979850;
W1319;L16931;S7;o;4;7759668;3879834;2852960;0.26;5598370;98.12;0.63;2.43;4.54;2750000;2722780;
W1320;L16932;S8;o;4;12174890;6087445;4754568;0.22;9342782;98.25;1.05;2.58;4.59;4500000;4466910;
W1327;L16933;S9;o;4;11373232;5686616;4400910;0.23;8636957;98.13;0.98;3.13;4.84;4250000;4203570;
W1328;L16934;S10;o;4;8214308;4107154;3142511;0.23;6160968;98.03;0.69;2.76;4.70;3000000;2963990;
W1344;L16935;S11;o;4;11976494;5988247;4703345;0.21;9238917;98.22;1.04;3.12;4.68;4500000;4456820;
W1350;L16936;S1;r;6;4427316;2213658;1691739;0.24;3317448;98.05;0.70;2.56;7.33;2750000;2723810;
W1350;L16936;S12;o;4;7688126;3844063;3158508;0.18;6192841;98.03;0.38;1.68;5.03;1500000;1487410;
W1353;L16937;S13;o;4;8944616;4472308;3466674;0.22;6806148;98.17;0.77;2.69;4.69;3250000;3216980;
W1360;L16938;S14;o;4;6818090;3409045;2568842;0.25;5041352;98.12;0.56;2.06;4.84;2250000;2229580;
W1361;L16939;S15;o;4;2970338;1485169;1169654;0.21;2298249;98.24;0.27;1.04;4.37;1000000;994327;
W1361;L16939;S4;r;5;10668778;5334389;4711474;0.12;9253032;98.2;1.06;2.84;7.33;4250000;4211580;
W1367;L16940;S16;o;4;10070352;5035176;3927290;0.22;7691268;97.92;0.87;2.98;4.76;3750000;3706290;
W1374;L16941;S17;o;4;9992200;4996100;3852363;0.23;7575437;98.32;0.85;1.81;5.23;3500000;3482840;
W1376;L16942;S18;o;4;6345838;3172919;2525556;0.20;4969163;97.99;0.55;2.36;5.17;2250000;2223950;
W1376;L16942;S5;r;5;18346846;9173423;8277709;0.10;16211163;97.92;1.73;4.57;8.95;7500000;7379280;
W1378;L16943;S19;o;4;5110066;2555033;1975963;0.23;3878319;98.14;0.45;2.09;4.68;1750000;1732730;
W1378;L19643;S6;r;5;10272262;5136131;4490991;0.13;8809936;98.08;1.00;3.33;8.29;4000000;3949100;
W1380;L16944;S20;o;4;9691742;4845871;3730052;0.23;7306816;97.95;0.83;2.83;4.86;3500000;3462490;
W1381;L16945;S21;o;4;10486042;5243021;4026053;0.23;7908079;98.21;0.91;3.08;4.50;3750000;3708580;
W1384;L16946;S22;o;4;3510228;1755114;1321185;0.25;2592600;98.12;0.30;1.28;3.39;1250000;1240480;
W1384;L16946;S7;r;5;12694572;6347286;5563413;0.12;10914575;98.09;1.26;3.46;5.87;5250000;5187140;
W1391;L16947;S23;o;4;4552706;2276353;1726807;0.24;3381729;97.92;0.39;1.72;4.42;1500000;1486350;
W1391;L16947;S8;r;5;21078988;10539494;9131319;0.13;17867604;97.84;2.01;4.75;8.17;8500000;8370220;
W1404;L16948;S24;o;4;15919974;7959987;6179971;0.22;12140153;98.22;1.36;3.30;4.94;5750000;5700240;
W1415;L16949;S25;o;4;8147572;4073786;3248550;0.20;6379572;98.19;0.68;1.94;6.10;3000000;2978760;
W1417;L16950;S26;o;4;8294054;4147027;3192623;0.23;6267856;98.16;0.69;2.08;4.84;3000000;2974960;
W1443;L16951;S27;o;4;5981288;2990644;2316711;0.23;4538763;97.96;0.51;2.90;4.74;2250000;2212740;
W1443;L16951;S9;r;5;11045402;5522701;4883054;0.12;9561414;97.90;1.05;4.11;8.04;4500000;4414790;
W1446;L16952;S28;o;4;7191450;3595725;2805000;0.22;5500502;98.05;0.63;3.34;5.04;2500000;2451530;
W1449;L16953;S29;o;4;11952326;5976163;4794170;0.20;9406319;98.10;1.06;3.45;5.28;4500000;4441580;
W1501;L16954;S30;o;4;14645182;7322591;5679142;0.22;11134023;98.03;1.26;3.76;5.49;5250000;5183330;
W1503;L16955;S31;o;4;16939868;8469934;6490756;0.23;12725065;98.02;1.46;4.06;4.45;6250000;6153700;
W1504;L16956;S32;o;4;8776248;4388124;3402925;0.22;6683569;98.20;0.76;3.15;4.93;3250000;3206530;
W1666;L16957;S10;r;5;12584608;6292304;5511437;0.12;10791515;97.90;1.21;3.84;8.09;5000000;4925400;
W1666;L16957;S33;o;4;5215486;2607743;2010372;0.23;3938927;97.97;0.45;2.11;4.78;1750000;1731330;
W1668;L16958;S34;o;4;19354352;9677176;7606467;0.21;14927954;98.13;1.68;3.69;4.85;7250000;7177270;
W1673;L16959;S11;r;5;10133520;5066760;4442627;0.12;8686337;97.76;0.95;3.33;7.85;4000000;3943930;
W1673;L16959;S35;o;4;4843220;2421610;1812802;0.25;3547995;97.86;0.40;1.82;4.39;1750000;1732200;
W1678;L16960;S36;o;4;7446100;3723050;2777259;0.25;5443419;98.00;0.61;2.51;5.16;2500000;2471540;
W1684;L16961;S37;o;4;10614596;5307298;4082971;0.23;8017309;98.18;0.90;2.20;4.46;3750000;3725810;
W1692;L16962;S38;o;4;7455718;3727859;2984102;0.20;5813715;97.41;0.65;2.54;5.14;2750000;2717140;
W1702;L16963;S39;o;4;8029882;4014941;3130768;0.22;6143591;98.12;0.68;2.14;5.00;3000000;2975910;
W1708;L16964;S40;o;4;12294636;6147318;4741621;0.23;9305765;98.13;1.04;2.74;5.14;4500000;4459530;
A1295;L16965;S41;o;4;7773970;3886985;3018410;0.22;5925111;98.15;0.65;2.48;5.89;2750000;2724840;
A1296;L16966;S42;o;4;9821652;4910826;3612736;0.26;7104754;98.33;0.80;1.88;4.30;3500000;3481040;
A1297;L16967;S43;o;4;11707864;5853932;4454649;0.24;8772338;98.46;1.02;1.74;4.17;4250000;4233390;
A1298;L16968;S44;o;4;18003438;9001719;6840903;0.24;13455895;98.35;1.52;2.95;4.59;6500000;6460150;
B1299;L16969;S45;o;4;9573976;4786988;3881570;0.19;7602742;97.93;0.87;3.43;4.48;3750000;3685620;
B1302;L16970;S46;o;4;13315082;6657541;5137061;0.23;10102027;98.32;1.15;2.46;5.29;4750000;4721180;
W1304;L16971;S47;o;4;10559190;5279595;4194501;0.21;8226385;98.06;0.91;2.90;5.83;4000000;3956430;
A1305;L16972;S48;o;4;8665860;4332930;3372572;0.22;6638164;98.41;0.75;1.53;4.59;3250000;3236770;
A1307;L16973;S49;o;4;11405070;5702535;4331258;0.24;8507317;98.21;0.97;2.33;4.18;4000000;3974890;
W1309;L16974;S12;r;5;14733070;7366535;6582101;0.11;12895563;97.96;1.39;3.82;8.66;6000000;5920330;
W1309;L16974;S50;o;4;4066500;2033250;1600095;0.21;3136866;98.02;0.35;1.47;4.92;1500000;1487230;
A1310;L16975;S51;o;4;9124260;4562130;3603283;0.21;7089301;98.37;0.80;1.82;5.04;3250000;3233990;
