file_name	RGID	RGLB	RGPL	RGPU	RGSM
mpg_L16936-1_W1350_S1_R1_001.fastq.gz	1	lib1	ILLUMINA	unit1	RGID1_S1
mpg_L16936-1_W1350_S1_R2_001.fastq.gz	1	lib1	ILLUMINA	unit1	RGID1_S1
mpg_L16926-1_W1398_S2_R1_001.fastq.gz	1	lib1	ILLUMINA	unit1	RGID1_S2
mpg_L16926-1_W1398_S2_R2_001.fastq.gz	1	lib1	ILLUMINA	unit1	RGID1_S2
mpg_L16927-1_W1429_S3_R1_001.fastq.gz	1	lib1	ILLUMINA	unit1	RGID1_S3
mpg_L16927-1_W1429_S3_R2_001.fastq.gz	1	lib1	ILLUMINA	unit1	RGID1_S3
mpg_L16928-1_W1502_S4_R1_001.fastq.gz	1	lib1	ILLUMINA	unit1	RGID1_S4
mpg_L16928-1_W1502_S4_R2_001.fastq.gz	1	lib1	ILLUMINA	unit1	RGID1_S4
mpg_L16929-1_W1447_S5_R1_001.fastq.gz	1	lib1	ILLUMINA	unit1	RGID1_S5
mpg_L16929-1_W1447_S5_R2_001.fastq.gz	1	lib1	ILLUMINA	unit1	RGID1_S5
mpg_L16930-1_W1318_S6_R1_001.fastq.gz	1	lib1	ILLUMINA	unit1	RGID1_S6
mpg_L16930-1_W1318_S6_R2_001.fastq.gz	1	lib1	ILLUMINA	unit1	RGID1_S6
mpg_L16931-1_W1319_S7_R1_001.fastq.gz	1	lib1	ILLUMINA	unit1	RGID1_S7
mpg_L16931-1_W1319_S7_R2_001.fastq.gz	1	lib1	ILLUMINA	unit1	RGID1_S7
mpg_L16932-1_W1320_S8_R1_001.fastq.gz	1	lib1	ILLUMINA	unit1	RGID1_S8
mpg_L16932-1_W1320_S8_R2_001.fastq.gz	1	lib1	ILLUMINA	unit1	RGID1_S8
mpg_L16933-1_W1327_S9_R1_001.fastq.gz	1	lib1	ILLUMINA	unit1	RGID1_S9
mpg_L16933-1_W1327_S9_R2_001.fastq.gz	1	lib1	ILLUMINA	unit1	RGID1_S9
mpg_L16934-1_W1328_S10_R1_001.fastq.gz	1	lib1	ILLUMINA	unit1	RGID1_S10
mpg_L16934-1_W1328_S10_R2_001.fastq.gz	1	lib1	ILLUMINA	unit1	RGID1_S10
mpg_L16935-1_W1344_S11_R1_001.fastq.gz	1	lib1	ILLUMINA	unit1	RGID1_S11
mpg_L16935-1_W1344_S11_R2_001.fastq.gz	1	lib1	ILLUMINA	unit1	RGID1_S11
mpg_L16936-1_W1350_S12_R1_001.fastq.gz	1	lib1	ILLUMINA	unit1	RGID1_S12
mpg_L16936-1_W1350_S12_R2_001.fastq.gz	1	lib1	ILLUMINA	unit1	RGID1_S12
mpg_L16937-1_W1353_S13_R1_001.fastq.gz	1	lib1	ILLUMINA	unit1	RGID1_S13
mpg_L16937-1_W1353_S13_R2_001.fastq.gz	1	lib1	ILLUMINA	unit1	RGID1_S13
mpg_L16938-1_W1360_S14_R1_001.fastq.gz	1	lib1	ILLUMINA	unit1	RGID1_S14
mpg_L16938-1_W1360_S14_R2_001.fastq.gz	1	lib1	ILLUMINA	unit1	RGID1_S14
mpg_L16939-1_W1361_S15_R1_001.fastq.gz	1	lib1	ILLUMINA	unit1	RGID1_S15
mpg_L16939-1_W1361_S15_R2_001.fastq.gz	1	lib1	ILLUMINA	unit1	RGID1_S15
