ID;sex
A1295;m
A1296;f
A1297;m
A1298;m
A1299;f
A1304;m
A1305;m
A1307;m
A1310;m
A1312;m
A1315;m
A1316;m
B1299;f
B1302;m
B1311;m
D4714;m
D4728;f
W1272;m
W1273;m
W1277;f
W1278;m
W1279;f
W1287;f
W1289;m
W1290;m
W1291;m
W1293;m
W1294;f
W1304;m
W1308;m
W1309;f
W1310;m
W1314;m
W1318;m
W1319;m
W1320;m
W1323;m
W1327;m
W1328;u
W1344;m
W1345;f
W1348;f
W1350;m
W1353;m
W1360;m
W1361;m
W1367;m
W1374;m
W1376;f
W1378;u
W1380;f
W1381;m
W1384;f
W1391;f
W1393;m
W1394;f
W1398;u
W1404;m
W1415;f
W1417;f
W1429;m
W1443;f
W1446;m
W1447;f
W1449;m
W1501;m
W1502;m
W1503;f
W1504;m
W1522;m
W1523;m
W1542;f
W1543;f
W1544;f
W1545;f
W1546;f
W1547;f
W1548;m
W1550;f
W1666;m
W1668;f
W1671;f
W1673;f
W1676;m
W1677;m
W1678;m
W1680;m
W1683;f
W1684;f
W1688;m
W1689;f
W1690;f
W1692;f
W1701;f
W1702;f
W1706;m
W1707;f
W1708;f
W1712;m
W1714;m
W1717;m
W1720;f
W1721;m
W1722;u
W1723;f
W1725;f
W1726;m
W1727;f
W1728;m
W1729;f
W1754;m
W1757;f
W1758;f
W1776;m
W1777;f
W1778;u
W1779;f
W1781;m
W1784;m
W1786;m
W1787;f
WT00002;f
WT00162;m
WT00163;u
WT00164;f
WT00202;m
WT00203;f
WT00382;m
WT00386;f
WT00402;f
WT00582;f
WT00602;m
WT00603;f
