Group_ID;Sample.ind.code;Real.ind.code;Colour_ bands
wing_tags;A1295;W1295;WT002
wing_tags;A1296;W1296;WT003
wing_tags;A1297;W1297;WT004
wing_tags;A1298;W1298;WT021
wing_tags;A1299;W1299;WT005
wing_tags;A1304;W1304;WT009
wing_tags;A1305;W1305;WT014
wing_tags;A1307;W1307;WT011
wing_tags;A1310;W1310;WT016
wing_tags;A1312;W1312;WT017
wing_tags;A1315;W1315;WT020
wing_tags;A1316;W1316;WT022
wing_tags;B1302;W1302;YYWK
wing_tags;B1311;W1311;WT015
mpala;D4714;D4714;WKOR
mpala;D4728;D4728;GRWY
mpala;W1272;W1272;WKOW
mpala;W1273;W1273;KKRK
mpala;W1278;W1278;BROB
mpala;W1279;W1279;YOBK
mpala;W1287;W1287;BYYO
mpala;W1289;W1289;WBKR
mpala;W1290;W1290;OOBB
mpala;W1291;W1291;RROR
mpala;W1293;W1293;YOKO
mpala;W1294;W1294;WBBB
wing_tags;W1308;W1308;WT012
wing_tags;W1309;W1309;WT013
wing_tags;W1314;W1314;WT019
wt025;W1318;W1318;WT024
wt025;W1319;W1319;WT025
wt025;W1320;W1320;WT026
wt025;W1323;W1323;RYWB
wt025;W1327;W1327;YYYY
wt025;W1328;W1328;WWWR
5509;W1344;W1344;RORO
5509;W1350;W1350;OROB
5509;W1353;W1353;WWWW
dump;W1360;W1360;OOBR
dump;W1361;W1361;WRGK
dump;W1367;W1367;RBBR
dump;W1374;W1374;OYRK
dump;W1376;W1376;RGRK
dump;W1378;W1378;YBRK
dump;W1380;W1380;YROK
dump;W1381;W1381;YRYR
dump;W1384;W1384;GYYK
dump;W1391;W1391;OOYK
mpala;W1393;W1393;RRYY
wing_tags;W1394;W1394;PBYK
5512;W1398;W1398;YBOY
5509;W1404;W1404;WGRR
5509;W1415;W1415;WKRB
5509;W1417;W1417;WGGK
ROOP;W1429;W1429;ROOP
5509;W1443;W1443;GPRY
5931-5938;W1446;W1446;GPPK
5931-5938;W1447;W1447;GGRP
5931-5938;W1449;W1449;GGGP
5931-5938;W1501;W1501;PBRG
RRWB;W1502;W1502;OGOY
5931-5938;W1503;W1503;PGGB
5931-5938;W1504;W1504;PKGG
wing_tags;W1542;W1542;WPOK
wing_tags;W1543;W1543;WPPW
wing_tags;W1544;W1544;PWPO
wing_tags;W1545;W1545;YYPG
wing_tags;W1546;W1546;GOYW
5509;W1666;W1666;WRRK
ROOP;W1668;W1668;WPYP
wt025;W1671;W1671;YGRO
wt025;W1673;W1673;YYWO
wt025;W1676;W1676;YRPK
wt025;W1677;W1677;YBWB
wt025;W1678;W1678;YKOG
wt025;W1680;W1680;YYRR
wt025;W1684;W1684;YPGR
5931-5938;W1688;W1688;GWRO
5931-5938;W1689;W1689;GWYB
5931-5938;W1692;W1692;GBYO
5509;W1702;W1702;RBWB
wt025;W1706;W1706;YPRB
wt025;W1707;W1707;YOPW
wt025;W1708;W1708;YGWB
mpala_chicks;WT00002;WT00002;RGBW
mpala_chicks;WT00163;WT00163;BYBY
mpala_chicks;WT00164;WT00164;GOBO
mpala_chicks;WT00202;WT00202;GROR
mpala_chicks;WT00203;WT00203;WYPO
mpala_chicks;WT00382;WT00382;ORGY
mpala_chicks;WT00386;WT00386;GRWW
mpala_chicks;WT00402;WT00402;WOBY
mpala_chicks;WT00582;WT00582;POPY
mpala_chicks;WT00602;WT00602;WWWB
mpala_chicks;WT00603;WT00603;BYGO
